"name","country","date","position","streams","artists","genres"
"Pepas","global","2022-09-22",158,999975,"['Farruko']","['latin hip hop', 'trap latino', 'reggaeton']"
"Blank Space","global","2022-10-03",134,999873,"['Taylor Swift']","['pop']"
"I’m Tired (with Zendaya) - Bonus Track","global","2022-03-23",111,999466,"['Labrinth', 'Zendaya']","['pop', 'dance pop', 'post-teen pop', 'indie poptimism']"
"Yonaguni","global","2022-09-21",155,999335,"['Bad Bunny']","['reggaeton', 'trap latino']"
"Heather","global","2022-10-12",147,999304,"['Conan Gray']","['bedroom pop', 'pop']"
"Perfect","global","2022-10-02",117,999289,"['Ed Sheeran']","['uk pop', 'pop']"
"Something Just Like This","global","2022-09-23",169,999174,"['The Chainsmokers', 'Coldplay']","['dance pop', 'pop dance', 'edm', 'pop', 'permanent wave', 'tropical house', 'electropop']"
"The Real Slim Shady","global","2022-09-27",139,999135,"['Eminem']","['detroit hip hop', 'rap', 'hip hop']"
"Love/Hate Letter To Alcohol (with Fleet Foxes)","global","2022-06-05",118,999102,"['Post Malone', 'Fleet Foxes']","['rap', 'indie pop', 'chamber pop', 'seattle indie', 'stomp and holler', 'folk', 'dfw rap', 'melodic rap', 'indie rock']"
"Something Just Like This","global","2022-09-15",154,999014,"['The Chainsmokers', 'Coldplay']","['dance pop', 'pop dance', 'edm', 'pop', 'permanent wave', 'tropical house', 'electropop']"
"Bohemian Rhapsody - Remastered 2011","global","2022-09-17",155,998893,"['Queen']","['glam rock', 'rock', 'classic rock']"
"Desesperados","global","2022-09-18",119,998843,"['Rauw Alejandro', 'Chencho Corleone']","['trap latino', 'puerto rican pop']"
"Save Your Tears (Remix) (with Ariana Grande) - Bonus Track","global","2022-10-01",155,998797,"['The Weeknd', 'Ariana Grande']","['pop', 'canadian pop', 'canadian contemporary r&b', 'dance pop']"
"The Happiest Girl","global","2022-09-26",138,998698,"['BLACKPINK']","['k-pop girl group', 'k-pop']"
"Numb","global","2022-10-13",152,998440,"['Marshmello', 'Khalid']","['pop r&b', 'dance pop', 'progressive electro house', 'pop dance', 'edm', 'brostep', 'pop']"
"Yonaguni","global","2022-09-22",159,998435,"['Bad Bunny']","['reggaeton', 'trap latino']"
